iter	Passed	Remaining
0	109	24014
1	160	17515
2	246	17818
3	333	17997
4	410	17635
5	481	17181
6	551	16782
7	620	16437
8	697	16350
9	766	16104
10	839	15949
11	911	15799
12	993	15812
13	1065	15685
14	1172	16028
15	1259	16055
16	1343	16044
17	1463	16425
18	1543	16325
19	1611	16113
20	1682	15942
21	1755	15802
22	1833	15706
23	1910	15600
24	1975	15408
25	2047	15274
26	2126	15198
27	2206	15133
28	2282	15030
29	2343	14843
30	2415	14725
31	2491	14637
32	2561	14516
33	2631	14394
34	2719	14376
35	2805	14340
36	2863	14162
37	2943	14098
38	3035	14086
39	3084	13880
40	3148	13744
41	3221	13653
42	3291	13546
43	3357	13431
44	3424	13315
45	3493	13214
46	3563	13116
47	3636	13032
48	3719	12980
49	3789	12885
50	3858	12786
51	3923	12675
52	3989	12569
53	4064	12494
54	4125	12377
55	4189	12269
56	4258	12177
57	4315	12054
58	4385	11967
59	4445	11855
60	4516	11772
61	4586	11689
62	4654	11599
63	4726	11521
64	4803	11454
65	4877	11381
66	4947	11298
67	5013	11205
68	5084	11128
69	5150	11036
70	5221	10957
71	5292	10878
72	5355	10783
73	5426	10705
74	5496	10626
75	5557	10529
76	5622	10441
77	5684	10349
78	5749	10261
79	5824	10193
80	5877	10085
81	5949	10013
82	6015	9929
83	6099	9874
84	6166	9794
85	6243	9728
86	6309	9646
87	6378	9568
88	6451	9496
89	6523	9422
90	6608	9367
91	6671	9281
92	6746	9213
93	6807	9124
94	6871	9041
95	6935	8958
96	7005	8882
97	7081	8816
98	7145	8732
99	7202	8643
100	7275	8572
101	7337	8488
102	7396	8401
103	7460	8321
104	7532	8249
105	7592	8165
106	7664	8094
107	7736	8023
108	7792	7935
109	7860	7860
110	7930	7787
111	8001	7715
112	8077	7648
113	8149	7577
114	8212	7498
115	8271	7415
116	8338	7340
117	8406	7266
118	8474	7192
119	8533	7110
120	8602	7038
121	8670	6965
122	8739	6891
123	8807	6818
124	8874	6744
125	8937	6667
126	9004	6594
127	9064	6515
128	9126	6437
129	9200	6369
130	9271	6299
131	9343	6228
132	9417	6160
133	9490	6090
134	9564	6021
135	9644	5956
136	9709	5882
137	9787	5815
138	9858	5745
139	9927	5672
140	9994	5599
141	10060	5525
142	10119	5449
143	10205	5386
144	10265	5309
145	10341	5241
146	10419	5174
147	10486	5101
148	10544	5024
149	10613	4952
150	10675	4878
151	10745	4807
152	10811	4734
153	10869	4658
154	10933	4585
155	11000	4513
156	11067	4440
157	11137	4370
158	11249	4315
159	11314	4243
160	11376	4168
161	11452	4100
162	11515	4026
163	11583	3955
164	11652	3884
165	11716	3811
166	11784	3740
167	11846	3666
168	11900	3591
169	11970	3520
170	12026	3446
171	12097	3375
172	12165	3305
173	12225	3232
174	12308	3165
175	12387	3096
176	12458	3026
177	12524	2955
178	12584	2882
179	12651	2811
180	12719	2740
181	12771	2666
182	12841	2596
183	12918	2527
184	12978	2455
185	13037	2383
186	13093	2310
187	13166	2241
188	13234	2170
189	13298	2099
190	13365	2029
191	13430	1958
192	13504	1889
193	13575	1819
194	13643	1749
195	13710	1678
196	13779	1608
197	13848	1538
198	13903	1467
199	13968	1396
200	14041	1327
201	14116	1257
202	14185	1187
203	14262	1118
204	14334	1048
205	14402	978
206	14477	909
207	14546	839
208	14610	768
209	14675	698
210	14747	629
211	14815	559
212	14895	489
213	14971	419
214	15034	349
215	15105	279
216	15159	209
217	15232	139
218	15324	69
219	15397	0
