iter	F1	Logloss
0	0.5044538209	0.6476069139
1	0.5746938776	0.6288668277
2	0.5710754017	0.6091093245
3	0.5234285714	0.5983219121
4	0.5252110427	0.58986645
5	0.5594704249	0.5788160603
6	0.5789799711	0.5687036447
7	0.5709401709	0.5660668525
8	0.5663869163	0.5639028723
9	0.568484328	0.5618640489
10	0.5778061224	0.5598970415
11	0.5793279456	0.5582529432
12	0.5756866085	0.5551752916
13	0.579316203	0.5533552135
14	0.5818565401	0.5499662018
15	0.5866554763	0.5461512045
16	0.58910162	0.5452790875
17	0.5892291447	0.5433291318
18	0.585386576	0.5419171337
19	0.5900805426	0.5405328271
20	0.5893350329	0.5404224541
21	0.5912563667	0.5396503474
22	0.5920271416	0.5384634233
23	0.5932059448	0.5377179693
24	0.5936305732	0.5366341127
25	0.592088473	0.5355546097
26	0.5939291021	0.5348023529
27	0.595510377	0.533873849
28	0.5943536404	0.5328147795
29	0.5952836201	0.5317813236
30	0.5987261146	0.5307570138
31	0.6016985138	0.5296964534
32	0.6029193992	0.5288074575
33	0.6082018927	0.5279586744
34	0.6081649832	0.5263170108
35	0.6110877782	0.5257225155
36	0.6100840336	0.5253095531
37	0.6083298275	0.5246983222
38	0.6102693603	0.5241754428
39	0.610176619	0.5236666318
40	0.6101409636	0.5233713497
41	0.6105617505	0.522404086
42	0.611462284	0.5218101242
43	0.6111111111	0.5213229485
44	0.6147712967	0.5209260145
45	0.6140608604	0.5197575332
46	0.6143187067	0.51920539
47	0.6153846154	0.518567841
48	0.6175115207	0.5181561929
49	0.6195060695	0.5173646326
50	0.6181894384	0.5168303401
51	0.620819398	0.5163195837
52	0.620083682	0.5154164574
53	0.6234632215	0.5150816334
54	0.6240100042	0.5145345854
55	0.6245833333	0.5143769309
56	0.6275244639	0.5141926246
57	0.6268470343	0.5133066242
58	0.6264056643	0.5129188919
59	0.6272632674	0.5125808025
60	0.6268966951	0.5122363368
61	0.6287138999	0.5118959936
62	0.6275976725	0.5109656788
63	0.6319718018	0.5105160113
64	0.6304212492	0.5095587851
65	0.6310337684	0.5088754465
66	0.6325812461	0.5083140962
67	0.6324290743	0.5081388325
68	0.6341059603	0.5073510304
69	0.6346909241	0.5072315637
70	0.6369636964	0.5065708536
71	0.638780136	0.5059012625
72	0.6417112299	0.5051784903
73	0.6431211499	0.5045322252
74	0.6424466338	0.503868482
75	0.6457693096	0.5028269146
76	0.6473113883	0.5022970328
77	0.6475995914	0.5018115015
78	0.6470708308	0.5014423995
79	0.6471910112	0.5010764652
80	0.6463614064	0.5006179789
81	0.6484279298	0.5003464406
82	0.6481632653	0.4998546684
83	0.6468310577	0.4987376023
84	0.6473587599	0.4983338365
85	0.6479217604	0.4969779613
86	0.6473469388	0.4967732909
87	0.6487367563	0.4961988776
88	0.6518910126	0.4956104807
89	0.6517584875	0.4951414711
90	0.6525802519	0.4946964139
91	0.6521827411	0.4941865925
92	0.6550466153	0.4933828083
93	0.6562689893	0.4930068089
94	0.658989899	0.4919899893
95	0.6615508885	0.4910966052
96	0.6619461865	0.4907351982
97	0.6618240517	0.4898298574
98	0.6615570795	0.4892616332
99	0.6629055007	0.4884234582
100	0.6642512077	0.4882848908
101	0.6649246231	0.4872746457
102	0.6672022494	0.4867046071
103	0.6669343505	0.4862811931
104	0.6682701944	0.4858253037
105	0.6708024815	0.4852253973
106	0.6709367494	0.4846049651
107	0.6726654669	0.4839978847
108	0.6726582784	0.4838100309
109	0.6766347687	0.483152856
110	0.6782158503	0.4829531868
111	0.6775542721	0.4822702982
112	0.6780604134	0.481955467
113	0.6797853309	0.4813117179
114	0.6813579512	0.4803771511
115	0.6843669507	0.4794497358
116	0.6839706756	0.4788269948
117	0.6847847649	0.4782662527
118	0.6867446008	0.4776212721
119	0.6863366337	0.4771699143
120	0.6865967135	0.4765284797
121	0.6872403561	0.4762085263
122	0.6871044304	0.475836585
123	0.6888098062	0.4749331936
124	0.6881550326	0.4740722755
125	0.6886867089	0.4729519048
126	0.690513834	0.4723267389
127	0.6902270484	0.4714948729
128	0.6906219151	0.4704289783
129	0.6937487675	0.4700056623
130	0.6943678614	0.4692372751
131	0.6955494289	0.4684163193
132	0.6963546798	0.4677471114
133	0.6970055162	0.4672349679
134	0.6977567887	0.466980699
135	0.6994686085	0.4661848767
136	0.6990749852	0.465725174
137	0.6992732273	0.4651166718
138	0.7019815578	0.4643171673
139	0.7033914919	0.463887356
140	0.7047768207	0.4636593008
141	0.7060896808	0.4631782669
142	0.7079091621	0.4627757394
143	0.7087416699	0.4622882239
144	0.7093364651	0.4620042066
145	0.7093364651	0.4617579716
146	0.710459433	0.4612066192
147	0.7109634551	0.4610219562
148	0.7098283931	0.4601549058
149	0.7100799376	0.4597678987
150	0.7094884811	0.4591555244
151	0.7118908382	0.4581246424
152	0.7106856808	0.456994912
153	0.7123928293	0.4562226705
154	0.7139793332	0.4553235527
155	0.7143692728	0.4544631985
156	0.7148422283	0.4541014649
157	0.7158427404	0.4536233003
158	0.7172306496	0.4530693186
159	0.7195808267	0.4526028335
160	0.7196116505	0.452068278
161	0.7202173069	0.451559088
162	0.7209617995	0.4511313762
163	0.7210699748	0.4508171928
164	0.7229428848	0.4499928
165	0.724598413	0.4492440861
166	0.7258657381	0.4487214012
167	0.7266744096	0.4480334919
168	0.7278701198	0.4474705643
169	0.7276595745	0.446892582
170	0.7296983759	0.4461662814
171	0.7302936631	0.4460143455
172	0.7314439946	0.4453352972
173	0.7313030069	0.4444266537
174	0.7316134001	0.4442377161
175	0.732459522	0.4437556738
176	0.7349142086	0.4431558192
177	0.7358490566	0.4427272391
178	0.7358890387	0.4421478242
179	0.7365787955	0.4415327281
180	0.7368825677	0.4412049574
181	0.7380541163	0.4407476999
182	0.7383374928	0.440313838
183	0.7400728947	0.439880585
184	0.7400306748	0.4390402847
185	0.7398311589	0.4388548422
186	0.7405560882	0.4385781525
187	0.7404990403	0.4382865813
188	0.7412238634	0.438105511
189	0.7418488684	0.4378648167
190	0.7424300498	0.4376663554
191	0.7441058079	0.4367947521
192	0.7441058079	0.4366433837
193	0.7438111687	0.4361092538
194	0.7434273652	0.435772076
195	0.7439094571	0.4352135954
196	0.7435700576	0.4348514448
197	0.7457822086	0.4345113895
198	0.7478959449	0.4340527367
199	0.7494261668	0.4333488348
200	0.7481821661	0.4332125408
201	0.7487571702	0.4328555422
202	0.7501912777	0.4321903175
203	0.7506692161	0.4314380487
204	0.7507174287	0.430804654
205	0.750909439	0.4304875893
206	0.7521988528	0.4302019294
207	0.7527251865	0.4298950058
208	0.7536785783	0.4293231199
209	0.754204893	0.4284778881
210	0.7561999237	0.4277834913
211	0.7565300286	0.4272731409
212	0.7573333333	0.4268092359
213	0.7581351094	0.4261023216
214	0.758988016	0.4256027149
