iter	Passed	Remaining
0	17	3749
1	34	3690
2	50	3586
3	69	3644
4	85	3594
5	98	3445
6	115	3438
7	128	3336
8	143	3289
9	162	3335
10	176	3264
11	189	3210
12	207	3220
13	223	3210
14	237	3171
15	258	3214
16	277	3236
17	298	3266
18	332	3430
19	354	3453
20	362	3348
21	388	3412
22	407	3401
23	418	3329
24	434	3298
25	451	3284
26	469	3272
27	487	3252
28	504	3233
29	516	3187
30	526	3125
31	541	3099
32	555	3062
33	573	3053
34	592	3045
35	611	3041
36	622	2996
37	637	2970
38	654	2954
39	675	2955
40	719	3052
41	744	3066
42	764	3059
43	784	3047
44	813	3072
45	859	3159
46	873	3122
47	894	3111
48	915	3101
49	933	3080
50	946	3043
51	960	3012
52	978	2991
53	991	2955
54	1004	2922
55	1018	2891
56	1028	2849
57	1040	2816
58	1052	2781
59	1062	2745
60	1077	2721
61	1088	2686
62	1106	2668
63	1119	2640
64	1138	2628
65	1152	2601
66	1169	2584
67	1181	2553
68	1196	2531
69	1212	2511
70	1226	2488
71	1243	2470
72	1257	2445
73	1270	2420
74	1286	2401
75	1299	2377
76	1315	2358
77	1334	2344
78	1350	2325
79	1366	2305
80	1383	2289
81	1396	2265
82	1406	2236
83	1421	2217
84	1439	2200
85	1454	2181
86	1469	2162
87	1484	2142
88	1501	2125
89	1515	2104
90	1528	2082
91	1541	2060
92	1557	2043
93	1569	2019
94	1584	2001
95	1598	1980
96	1613	1962
97	1631	1948
98	1651	1935
99	1689	1942
100	1707	1927
101	1724	1910
102	1744	1897
103	1758	1877
104	1771	1856
105	1792	1843
106	1828	1845
107	1855	1837
108	1873	1822
109	1892	1806
110	1902	1782
111	1916	1762
112	1928	1740
113	1944	1722
114	1961	1706
115	1975	1686
116	1993	1669
117	2009	1651
118	2027	1635
119	2041	1616
120	2059	1599
121	2070	1578
122	2085	1559
123	2102	1543
124	2115	1523
125	2133	1507
126	2149	1489
127	2164	1471
128	2177	1451
129	2187	1430
130	2202	1412
131	2215	1392
132	2231	1375
133	2248	1359
134	2264	1341
135	2277	1322
136	2293	1305
137	2310	1289
138	2323	1270
139	2338	1252
140	2352	1234
141	2365	1215
142	2375	1195
143	2386	1176
144	2401	1159
145	2413	1140
146	2420	1119
147	2433	1101
148	2448	1084
149	2458	1065
150	2471	1047
151	2486	1030
152	2502	1013
153	2515	996
154	2532	980
155	2541	961
156	2551	942
157	2567	926
158	2583	910
159	2600	894
160	2610	875
161	2628	859
162	2641	842
163	2651	824
164	2664	807
165	2678	790
166	2693	774
167	2711	758
168	2727	742
169	2737	724
170	2750	707
171	2763	690
172	2779	674
173	2794	658
174	2803	640
175	2816	624
176	2832	608
177	2847	591
178	2862	575
179	2877	559
180	2883	541
181	2896	525
182	2912	509
183	2926	493
184	2940	476
185	2943	458
186	2947	441
187	2957	424
188	2970	408
189	2984	392
190	2997	376
191	3013	360
192	3026	344
193	3039	328
194	3051	312
195	3066	297
196	3074	280
197	3083	264
198	3099	249
199	3115	233
200	3132	218
201	3147	202
202	3166	187
203	3182	171
204	3199	156
205	3202	139
206	3220	124
207	3236	108
208	3249	93
209	3263	77
210	3281	62
211	3295	46
212	3311	31
213	3326	15
214	3342	0
