Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Annual Income_nan,Years in current job_nan,Bankruptcies_nan,Credit Score_nan,Term_Long Term,Term_Short Term,Credit Default
Home Mortgage,-0.40875006908465633,10+ years,-0.11095342154390785,-1.656467941063722,3.150267421308481,-1.1629176899330016,1.6647792271904904,2.545731972691612,home improvements,Short Term,-0.3649647116271825,-0.7901497085899519,-1.135040140855518,-0.2265565436254781,1,0,0,1,0,1,0
Rent,-0.40875006908465633,5 years,-0.11095342154390785,-1.2490195281557193,-1.2522184712209077,-0.49476198147097356,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.3650184642990243,-0.8253581191661915,-0.7096659196714855,-0.2265565436254781,1,0,0,1,0,1,0
Home Mortgage,0.27987836145533557,8 years,-0.11095342154390785,0.5844983299302937,-0.38592286011028615,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.35815259417646317,0.7719918764505709,1.1778116515590622,-0.25507209222098165,0,0,0,0,0,1,0
Rent,2.1181715616995547,1 year,-0.11095342154390785,2.2142919815623054,0.12533356611893312,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.35782869987177546,-0.6151836343002183,-0.06359685319741311,-0.23003404955175905,0,0,0,0,0,1,1
Home Mortgage,-0.40875006908465633,10+ years,-0.11095342154390785,2.0105677751083038,0.5939852901623843,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3566178864816982,2.254690375488,0.9627347981514054,-0.2265565436254781,1,0,0,1,0,1,1
Home Mortgage,0.9535924355679697,10+ years,-0.11095342154390785,0.1770499170222909,0.5087758857908475,-0.1679947749310209,1.6647792271904904,2.545731972691612,medical bills,Short Term,-0.36843520464507046,0.051683986053819665,0.663807319633551,-0.2515945862947007,0,0,0,0,0,1,1
Home Mortgage,-0.548288195195582,7 years,-0.11095342154390785,-1.656467941063722,-0.6131479384343835,-0.2500239910748273,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.371104231543061,-0.737725640550288,-1.2760768922908703,-0.22447004006970958,0,0,0,0,0,1,0
Rent,-0.5199410409263655,9 years,-0.11095342154390785,-1.656467941063722,-0.45693069708656664,-1.1338250611726755,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.36854477739920954,-0.7930787614222707,-1.3015674823243704,4.155100923488479,0,0,0,0,0,1,1
Home Mortgage,1.9649043260296704,2 years,-0.11095342154390785,-0.4341227023397134,-1.4936451169402611,-0.8168053848874712,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3642797096296089,-0.36465995225434406,-0.263832145960565,-0.25089908510944453,0,0,0,0,0,1,1
Home Mortgage,-0.2986949588251632,3 years,-0.11095342154390785,-0.026674289431710546,-0.11609307960042034,0.04277682157742491,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36669306676794167,-0.19136762244022107,0.7035525159357847,4.155100923488479,0,0,0,0,0,1,1
