,employer,link,source,title,compensation_min,compensation_max,compensation_currency
0, EdgeCase Technology,https://hh.ru/vacancy/36414126?query=python,https://hh.ru,Python Backend Developer (Munchen),4200,6250, EUR
1,ООО Верме,https://hh.ru/vacancy/35493930?query=python,https://hh.ru,"Back-end Developer (Python, Django)",100000,, руб.
2,ООО БОЛЬШАЯ ТРОЙКА,https://hh.ru/vacancy/36622564?query=python,https://hh.ru,Backend python/Django разработчик,120000,200000, руб.
3, ЭргоСОЛО,https://hh.ru/vacancy/36497371?query=python,https://hh.ru,Web-разработчик на Python,140000,, руб.
4,АО СБК,https://hh.ru/vacancy/36638258?query=python,https://hh.ru,Python разработчик,160000,200000, руб.
5,ООО ИДАГРУПП,https://hh.ru/vacancy/36386182?query=python,https://hh.ru,Python/Django разработчик,50000,, руб.
6, Beorg,https://hh.ru/vacancy/36549796?query=python,https://hh.ru,Junior Python developer / Начинающий разработчик Python,60000,70000, руб.
7,ООО Доверенная среда,https://hh.ru/vacancy/36680277?query=python,https://hh.ru,Программист Python,160000,200000, руб.
8, Интерфакс,https://hh.ru/vacancy/35359641?query=python,https://hh.ru,Программист Python,,,
9, ДомКлик,https://hh.ru/vacancy/35013498?query=python,https://hh.ru,Разработчик Python,,,
10, Petrosoft Inc.,https://hh.ru/vacancy/36586257?query=python,https://hh.ru,Программист Python,,,
11,АО РТИ,https://hh.ru/vacancy/35870480?query=python,https://hh.ru,Программист Python,,,
12, RU-CERT,https://hh.ru/vacancy/35620095?query=python,https://hh.ru,Python разработчик,100000,150000, руб.
13,ООО ЮНИМ,https://hh.ru/vacancy/36589261?query=python,https://hh.ru,Backend разработчик (Python),,,
14, AppQuantum,https://hh.ru/vacancy/36619253?query=python,https://hh.ru,Python developer,170000,230000, руб.
15,ООО Стоматорг,https://hh.ru/vacancy/36324804?query=python,https://hh.ru,Аналитик Data Scientist,150000,, руб.
16,ООО Тоюса,https://hh.ru/vacancy/36580148?query=python,https://hh.ru,Разработчик Python,,80000, руб.
17, FunBox,https://hh.ru/vacancy/36445891?query=python,https://hh.ru,Python-разработчик,100000,, руб.
18, Платформа ОФД,https://hh.ru/vacancy/36645366?query=python,https://hh.ru,Junior Data scientist,,,
19, ДомКлик,https://hh.ru/vacancy/34567979?query=python,https://hh.ru,Python/Go Developer,,,
20,ООО Кадровое решение,https://hh.ru/vacancy/36448873?query=python,https://hh.ru,Программист Python (Django),160000,180000, руб.
21, NetworkOptix,https://hh.ru/vacancy/35419959?query=python,https://hh.ru,QA Automation Engineer (Python),3000,, USD
22, Web Interactive World,https://hh.ru/vacancy/36407277?query=python,https://hh.ru,Разработчик Python Backend,150000,, руб.
23, ASD Technologies,https://hh.ru/vacancy/36245671?query=python,https://hh.ru,Python-разработчик,120000,, руб.
24, Betby,https://hh.ru/vacancy/36242559?query=python,https://hh.ru,Senior Python Developer (to Riga),,,
25,ООО Джи Эф Си,https://hh.ru/vacancy/36101850?query=python,https://hh.ru,Разработчик Python (Django),250000,, руб.
26, Билайн,https://hh.ru/vacancy/36317639?query=python,https://hh.ru,Python разработчик,,,
27,ООО СКАЙТРЭК,https://hh.ru/vacancy/36657404?query=python,https://hh.ru,PYTHON Разработчик,150000,, руб.
28, UBEX AI AG,https://hh.ru/vacancy/36663756?query=python,https://hh.ru,Back-end разработчик Python / Go,150000,200000, руб.
29, Яндекс,https://hh.ru/vacancy/35815510?query=python,https://hh.ru,Разработчик Python,,,
30, BestDoctor,https://hh.ru/vacancy/36409905?query=python,https://hh.ru,Data Engineer,160000,200000, руб.
31,ЗАО Прогностические решения,https://hh.ru/vacancy/35895583?query=python,https://hh.ru,"Специалист / data scientist (big data, прогностическая аналитика, data mining)",100000,, руб.
32, ДомКлик,https://hh.ru/vacancy/33481272?query=python,https://hh.ru,Senior Data scientist (NLP/NLU),,,
33, EXANTE,https://hh.ru/vacancy/36553510?query=python,https://hh.ru,Full stack developer (Python / Django / Vue),1000,, EUR
34, B2Broker Москва,https://hh.ru/vacancy/36267171?query=python,https://hh.ru,Python developer,150000,200000, руб.
35,ИП Надеждина Татьяна Николаевна,https://hh.ru/vacancy/36572530?query=python,https://hh.ru,Программист Javascript (React) + Python,60000,, руб.
36, ИнПлат,https://hh.ru/vacancy/35350974?query=python,https://hh.ru,Разработчик Python,,,
37,ООО Смартекс,https://hh.ru/vacancy/36519460?query=python,https://hh.ru,Разработчик Python / Django,150000,250000, руб.
38, РБК,https://hh.ru/vacancy/36487148?query=python,https://hh.ru,Python-разработчик,,,
39,ООО Центробит,https://hh.ru/vacancy/36067882?query=python,https://hh.ru,Middle Python разработчик,100000,180000, руб.
40,АО Интегрис,https://hh.ru/vacancy/35909189?query=python,https://hh.ru,Программист C++/Python,110000,, руб.
41,ООО Тексел,https://hh.ru/vacancy/36240587?query=python,https://hh.ru,Python/C++ Developer,,,
42,ООО ВижнЛабс (VisionLabs),https://hh.ru/vacancy/30424698?query=python,https://hh.ru,Senior Python разработчик,220000,, руб.
43, Gradient,https://hh.ru/vacancy/36359628?query=python,https://hh.ru,Senior Data Scientist,300000,, руб.
44,ООО Портал Каргокс,https://hh.ru/vacancy/36480050?query=python,https://hh.ru,Программист (Python\Django\HTML\CSS\JS),100000,, руб.
45, BestDoctor,https://hh.ru/vacancy/36449432?query=python,https://hh.ru,Python middle developer,120000,160000, руб.
46,ООО Лаборатория Наносемантика,https://hh.ru/vacancy/36319999?query=python,https://hh.ru,Разработчик Python/Django,90000,120000, руб.
47, NX Studio,https://hh.ru/vacancy/36593364?query=python,https://hh.ru,Разработчик Python,,,
48, ivi,https://hh.ru/vacancy/35503487?query=python,https://hh.ru,Python-разработчик,140000,200000, руб.
49, Лаборатория Касперского,https://hh.ru/vacancy/36679925?query=python,https://hh.ru,Python developer,,,
50, Лаборатория Касперского,https://hh.ru/vacancy/36664372?query=python,https://hh.ru,Python developer / Разработчик Python,,,
51, TR Logic LLC,https://hh.ru/vacancy/36357866?query=python,https://hh.ru,Back-End Developer,2000,, EUR
52,ООО Кузница Кадров,https://hh.ru/vacancy/36651376?query=python,https://hh.ru,Python developer,120000,, руб.
53, FunBox,https://hh.ru/vacancy/35629745?query=python,https://hh.ru,Backend-разработчик,90000,, руб.
54, Arrival Digital,https://hh.ru/vacancy/36647571?query=python,https://hh.ru,Python Developer,150000,, руб.
55,АО Синтелс,https://hh.ru/vacancy/36339587?query=python,https://hh.ru,Младший программист C/C++,50000,60000, руб.
56,ООО Варити,https://hh.ru/vacancy/36411300?query=python,https://hh.ru,C++ Senior Software Developer,250000,, руб.
57," ВСК, САО",https://hh.ru/vacancy/36661815?query=python,https://hh.ru,Разработчик Python (в Управление перспективных технологий),,,
58, Spirit Corp,https://hh.ru/vacancy/30255734?query=python,https://hh.ru,Специалист: Computer Vision & Machine Learning based projects,200000,, руб.
59, ASD Technologies,https://hh.ru/vacancy/36444270?query=python,https://hh.ru,Senior Python Developer / Ведущий Python-разработчик,200000,, руб.
60,ООО Бизнес Успех,https://hh.ru/vacancy/35768680?query=python,https://hh.ru,Разработчик на PYTHON,200000,350000, руб.
61, Банк Открытие,https://hh.ru/vacancy/36217562?query=python,https://hh.ru,Data Engineer,,,
62,ООО Кадровое решение,https://hh.ru/vacancy/36648509?query=python,https://hh.ru,Программист Python,160000,180000, руб.
63,ООО Агроресурс,https://hh.ru/vacancy/36425758?query=python,https://hh.ru,Python разработчик / администратор процессов обработки данных,80000,, руб.
64, NetworkOptix,https://hh.ru/vacancy/36066772?query=python,https://hh.ru,"Разработчик автоматических тестов GUI (Python, Squish)",3000,, USD
65, BOSCH,https://hh.ru/vacancy/36302665?query=python,https://hh.ru,Machine Learning Research Engineer / Инженер отдела исследований и разработок,,,
66, Star-staff,https://hh.ru/vacancy/36665213?query=python,https://hh.ru,Python senior developer,,,
67, Star-staff,https://hh.ru/vacancy/36550975?query=python,https://hh.ru,Программист Python,150000,180000, руб.
68, HAYS,https://hh.ru/vacancy/36647830?query=python,https://hh.ru,SDET \ Python developer,,,
69, Новые Облачные Технологии,https://hh.ru/vacancy/34322458?query=python,https://hh.ru,Python разработчик,,,
70, ДомКлик,https://hh.ru/vacancy/36656864?query=python,https://hh.ru,"FullStack Developer (Python, JS)",,,
71,ООО Айтенд,https://hh.ru/vacancy/36637002?query=python,https://hh.ru,Инженер компьютерного зрения / Senior Computer Vision Engineer,,300000, руб.
72, СБСОФТ,https://hh.ru/vacancy/36421719?query=python,https://hh.ru,Разработчик Python 2.7 (3.Х),,,
73, Instories,https://hh.ru/vacancy/36663105?query=python,https://hh.ru,Back-end разработчик Python / Django,,,
74, IT_Selection,https://hh.ru/vacancy/36372936?query=python,https://hh.ru,Middle Python developer,130000,160000, руб.
75, ivi,https://hh.ru/vacancy/35601180?query=python,https://hh.ru,Data Scientist,170000,, руб.
76,ЗАО Аэроплан,https://hh.ru/vacancy/36542973?query=python,https://hh.ru,Риггер/Rigger,,,
77, Бизнес-Азимут,https://hh.ru/vacancy/36319693?query=python,https://hh.ru,Системный аналитик (BI),230000,, руб.
78, Spice Agency,https://hh.ru/vacancy/36217222?query=python,https://hh.ru,Senior Python Developer в Болгарию,,,
79,ИП Храмцова Полина Владимировна,https://hh.ru/vacancy/36666249?query=python,https://hh.ru,Backend Team Lead (Python),,,
80,ООО НТ Прогресс,https://hh.ru/vacancy/35871016?query=python,https://hh.ru,Web разработчик (Python),,,
81,ООО Поток.Диджитал,https://hh.ru/vacancy/36552682?query=python,https://hh.ru,Data scientist/Портфельный аналитик,130000,, руб.
82,ООО Нова,https://hh.ru/vacancy/36314706?query=python,https://hh.ru,Junior backend developer,,,
83, NetworkOptix,https://hh.ru/vacancy/30005963?query=python,https://hh.ru,Senior Python developer,4000,, USD
84, Colvir Software Solutions,https://hh.ru/vacancy/36397425?query=python,https://hh.ru,Senior Python Разработчик,,,
85,ООО АМИКОН,https://hh.ru/vacancy/36630285?query=python,https://hh.ru,"Инженер по автоматизированному тестированию (QA Automation Engineer) Python, C",80000,130000, руб.
86," ГРЧЦ, ФГУП",https://hh.ru/vacancy/36635630?query=python,https://hh.ru,Junior Программист-разработчик (Python),,,
87, Ростелеком - Центры обработки данных,https://hh.ru/vacancy/35028427?query=python,https://hh.ru,Программист-разработчик Python (junior),,,
88, Авито,https://hh.ru/vacancy/36635347?query=python,https://hh.ru,Разработчик Python,,,
89, BestDoctor,https://hh.ru/vacancy/35846205?query=python,https://hh.ru,Python senior developer,180000,250000, руб.
90,ООО НТС,https://hh.ru/vacancy/36278584?query=python,https://hh.ru,SQL/BI аналитик,60000,100000, руб.
91,ООО Ван,https://hh.ru/vacancy/36458591?query=python,https://hh.ru,Full Stack developer Django / React,120000,, руб.
92,ООО СИБРУС,https://hh.ru/vacancy/36307743?query=python,https://hh.ru,Python разработчик Back-End (middle+/senior),140000,, руб.
93,АО НИИМЭ,https://hh.ru/vacancy/34790297?query=python,https://hh.ru,Программист Python,,,
94,ООО Сбербанк-Сервис,https://hh.ru/vacancy/36338977?query=python,https://hh.ru,Разработчик Python,,,
95," Mail.Ru Group, Решения для бизнеса",https://hh.ru/vacancy/34830972?query=python,https://hh.ru,Python-разработчик,,,
96, Сбербанк для экспертов,https://hh.ru/vacancy/36645407?query=python,https://hh.ru,Python Developer SberDevices,,,
97, Сбербанк для экспертов,https://hh.ru/vacancy/36662750?query=python,https://hh.ru,Back-end разработчик (Python),,,
98,ООО Диджитал Горизонт,https://hh.ru/vacancy/36654813?query=python,https://hh.ru,Head of Data Science,,,
99, Muzzmania LLC,https://hh.ru/vacancy/36633104?query=python,https://hh.ru,Backend-разработчик Python / Django,100000,, руб.
100,ООО Ростелеком Информационные Технологии,https://hh.ru/vacancy/36675626?query=python,https://hh.ru,Разработчик Python,,,
101, Группа компаний «Триумф»,https://hh.ru/vacancy/26680990?query=python,https://hh.ru,CG программист (Python/C++),,,
102,ООО Когнитивные системы,https://hh.ru/vacancy/36456453?query=python,https://hh.ru,Python Developer/Team-lead,120000,200000, руб.
103, X5 RETAIL GROUP,https://hh.ru/vacancy/36651446?query=python,https://hh.ru,TeamLead Python разработки / руководитель группы разработчиков (Python),,,
104, Spirit Corp,https://hh.ru/vacancy/34148970?query=python,https://hh.ru,Начинающий специалист: Computer Vision & Machine Learning based projects,,,
105,ООО Безопасная информационная зона. Направление Кибербезопасность,https://hh.ru/vacancy/36597368?query=python,https://hh.ru,Backend разработчик Python,,,
106,ООО НТехЛаб,https://hh.ru/vacancy/36650648?query=python,https://hh.ru,Ведущий Python программист,,,
107, ДомКлик,https://hh.ru/vacancy/35469057?query=python,https://hh.ru,Senior Python Developer,,,
108, B2Broker,https://hh.ru/vacancy/35219728?query=python,https://hh.ru,DevOps engineer,120000,170000, руб.
109, ЦИАН ГРУПП,https://hh.ru/vacancy/31415429?query=python,https://hh.ru,Python Developer (ML),,,
110, ИТЕРАНЕТ,https://hh.ru/vacancy/36503032?query=python,https://hh.ru,Разработчик Python,,,
111,ООО АлгоМост,https://hh.ru/vacancy/36271196?query=python,https://hh.ru,NLP engineer / Data scientist NLP,100000,250000, руб.
112, Лаборатория Касперского,https://hh.ru/vacancy/34333666?query=python,https://hh.ru,Python Developer,,,
113,ООО Кениг Капитал Раша,https://hh.ru/vacancy/36563929?query=python,https://hh.ru,Software Developer in hedge fund,200000,300000, руб.
114,"ПАО «МТС»,IT",https://hh.ru/vacancy/36647320?query=python,https://hh.ru,Backend python developer,,,
115, Авито,https://hh.ru/vacancy/36632049?query=python,https://hh.ru,Разработчик Python/Go,,,
116, ДомКлик,https://hh.ru/vacancy/33975505?query=python,https://hh.ru,IT руководитель команды (направление Data Science),,,
117,ООО АМИКОН,https://hh.ru/vacancy/36630519?query=python,https://hh.ru,Программист Python/C++,100000,150000, руб.
118,ООО Т8,https://hh.ru/vacancy/34909381?query=python,https://hh.ru,QA Engineer (Python),,,
119,ООО Диджитал Пайн,https://hh.ru/vacancy/36360609?query=python,https://hh.ru,Разработчик Python (middle / senior),60000,140000, руб.
120,"ПАО «МТС»,IT",https://hh.ru/vacancy/35398526?query=python,https://hh.ru,Python разработчик (Big Data),,,
121, NPBFX Limited,https://hh.ru/vacancy/34649894?query=python,https://hh.ru,Full-Stack Web-Developer (Python / Odoo),100000,200000, руб.
122, Uchi.ru,https://hh.ru/vacancy/36631633?query=python,https://hh.ru,Инженер по тестированию,,,
123,"ПАО «МТС»,IT",https://hh.ru/vacancy/34870277?query=python,https://hh.ru,Data Engineer,,,
124, Comagic,https://hh.ru/vacancy/35682116?query=python,https://hh.ru,Тестировщик ПО,,,
125,ООО СИБРУС,https://hh.ru/vacancy/36307920?query=python,https://hh.ru,Python разработчик Front-End (middle+/senior),140000,, руб.
126, АНО Инфокультура,https://hh.ru/vacancy/36458502?query=python,https://hh.ru,Data аналитик / Специалист по работе с данными,70000,100000, руб.
127, ANCOR FinTech,https://hh.ru/vacancy/36647015?query=python,https://hh.ru,Data Scientist (Аналитик больших данных),,,
128, HASH CIB,https://hh.ru/vacancy/36628210?query=python,https://hh.ru,Junior Data Разработчик,,,
129, Angara Technologies Group,https://hh.ru/vacancy/36562382?query=python,https://hh.ru,Data инженер,,,
130,ООО КВАНТПОРТРУС,https://hh.ru/vacancy/31844648?query=python,https://hh.ru,Junior Quantitative Researcher,250000,250000, руб.
131,ООО Авилекс,https://hh.ru/vacancy/36551261?query=python,https://hh.ru,Тестировщик ПО,,,
132,ООО IQnergy,https://hh.ru/vacancy/36651313?query=python,https://hh.ru,Data analyst / Аналитик данных,,,
133,АО АСТ,https://hh.ru/vacancy/36631579?query=python,https://hh.ru,Web-разработчик Full stack,150000,200000, руб.
134,ООО НТЦ ИТ Роса,https://hh.ru/vacancy/36625070?query=python,https://hh.ru,Программист-разработчик,180000,200000, руб.
135, Сбербанк для экспертов,https://hh.ru/vacancy/35675737?query=python,https://hh.ru,Junior QA/автоматизированное тестирование,90000,140000, руб.
136, Европлан,https://hh.ru/vacancy/35830955?query=python,https://hh.ru,Аналитик данных,,,
137, Северсталь. Управляющая компания,https://hh.ru/vacancy/36631844?query=python,https://hh.ru,Senior Python Developer,,,
138, Admitad,https://hh.ru/vacancy/33647219?query=python,https://hh.ru,Python developer (Data Engineer),,,
139, mfms°,https://hh.ru/vacancy/35966230?query=python,https://hh.ru,Senior Data Scientist,,,
140, Девхаб,https://hh.ru/vacancy/36295087?query=python,https://hh.ru,Ведущий разработчик асинхронных бэкендов на Python и PostgreSQL / backend-разработчик,180000,200000, руб.
141,ПАО Ростелеком,https://hh.ru/vacancy/36645296?query=python,https://hh.ru,Data scientist,,,
142," Финансовый университет, Финуниверситет",https://hh.ru/vacancy/36448904?query=python,https://hh.ru,Доцент (анализ данных и машинное обучение),100000,250000, руб.
143, Почта Банк,https://hh.ru/vacancy/36337730?query=python,https://hh.ru,Data Scientist,,,
144, TR Logic LLC,https://hh.ru/vacancy/35355643?query=python,https://hh.ru,Junior PHP Developer,1000,, EUR
145, Сбербанк для экспертов,https://hh.ru/vacancy/36646351?query=python,https://hh.ru,"Data Scientist, Дивизион 'Особенные решения'",,,
146, Exness,https://hh.ru/vacancy/36528059?query=python,https://hh.ru,Data Analyst (BI),,,
147, NetworkOptix,https://hh.ru/vacancy/29056936?query=python,https://hh.ru,Software Engineer (С++/CMake),4000,, USD
148,ООО ГЛОСАВ,https://hh.ru/vacancy/36424427?query=python,https://hh.ru,Программист C/С++ (Linux),100000,, руб.
149,АО РТИ,https://hh.ru/vacancy/36679966?query=python,https://hh.ru,Старший инженер программист Python (back-end),,,
150,ООО Поток.Диджитал,https://hh.ru/vacancy/36038740?query=python,https://hh.ru,Аналитик DWH/BI,130000,, руб.
151," Mail.Ru Group, Другое",https://hh.ru/vacancy/36265810?query=python,https://hh.ru,Data Scientist,,,
152, Медицинские Технологии Лтд.,https://hh.ru/vacancy/36441397?query=python,https://hh.ru,Математик-программист/Инженер по компьютерному зрению и обработке изображений,,,
153,ООО Прогматик Лаб,https://hh.ru/vacancy/35275243?query=python,https://hh.ru,DevOps - разработчик ПО,200000,, руб.
154,ООО Медконгресс,https://hh.ru/vacancy/36663966?query=python,https://hh.ru,Frontend/Backend разработчик,,,
155, ФГБУ ЦСП Минздрава России,https://hh.ru/vacancy/35564668?query=python,https://hh.ru,Аналитик данных (Data Scientist),80000,, руб.
156, Программные системы и технологии,https://hh.ru/vacancy/36337479?query=python,https://hh.ru,"Разработчик С++, Oracle",110000,, руб.
157,ООО Верме,https://hh.ru/vacancy/35015374?query=python,https://hh.ru,Full Stack developer,70000,, руб.
158,ООО КВАНТПОРТРУС,https://hh.ru/vacancy/36101467?query=python,https://hh.ru,Quantitative Software Engineer,250000,, руб.
159, Пульс Продаж Новостроек,https://hh.ru/vacancy/36613872?query=python,https://hh.ru,Программист Python (разработка парсеров данных),30000,60000, руб.
160,АО Синтелс,https://hh.ru/vacancy/36339704?query=python,https://hh.ru,Программист C/С++,70000,85000, руб.
161,ООО САС Институт,https://hh.ru/vacancy/36154902?query=python,https://hh.ru,"Стажёр (по анализу данных, data science)",,,
162, QIWI,https://hh.ru/vacancy/36267064?query=python,https://hh.ru,Программист Python,,,
163, Тинькофф,https://hh.ru/vacancy/34982073?query=python,https://hh.ru,Data Scientist (Computer Vision),,,
164, Сбербанк для экспертов,https://hh.ru/vacancy/36627393?query=python,https://hh.ru,Data Scientist,,,
165,ООО Арум Капитал,https://hh.ru/vacancy/36551440?query=python,https://hh.ru,Тестировщик,,,
166, Лаборатория Касперского,https://hh.ru/vacancy/36598699?query=python,https://hh.ru,Full-Stack developer (Vue.js / Python),,,
167,ИП Акимов Дмитрий Андреевич,https://hh.ru/vacancy/36600066?query=python,https://hh.ru,Python разработчик AI,155000,, руб.
168,ООО БОСТОНДЖИН,https://hh.ru/vacancy/36612505?query=python,https://hh.ru,Python разработчик,,,
169, Федеральная антимонопольная служба,https://hh.ru/vacancy/36612336?query=python,https://hh.ru,Web-разработчик (Python/ReactJS),100000,, руб.
170, Star-staff,https://hh.ru/vacancy/36609372?query=python,https://hh.ru,Программист Python,150000,180000, руб.
171, NGENIX,https://hh.ru/vacancy/36578058?query=python,https://hh.ru,Разработчик / Инженер-программист (Python),,230000, руб.
172, DigitalHR,https://hh.ru/vacancy/36034720?query=python,https://hh.ru,Python developer,,,
173,ООО КИБЕРТОНИКА,https://hh.ru/vacancy/36271219?query=python,https://hh.ru,DevOps engineer,140000,180000, руб.
174,АО РФИ БАНК,https://hh.ru/vacancy/35993486?query=python,https://hh.ru,Разработчик Python (Senior/Middle),,,
175, SUNLIGHT,https://hh.ru/vacancy/36675515?query=python,https://hh.ru,Senior Python разработчик,,,
176, JCat.ru,https://hh.ru/vacancy/36614916?query=python,https://hh.ru,Разработчик Python,115000,170000, руб.
177, ИТЕРАНЕТ,https://hh.ru/vacancy/36305205?query=python,https://hh.ru,Младший специалист по тестированию ПО,40000,, руб.
178, Yellow Images Inc.,https://hh.ru/vacancy/36321209?query=python,https://hh.ru,Back-End Developer Laravel (php),150000,, руб.
179, Брокеркредитсервис,https://hh.ru/vacancy/35701431?query=python,https://hh.ru,Data Scientist,,,
180, Сбербанк для руководителей,https://hh.ru/vacancy/35304556?query=python,https://hh.ru,Senior Data Scientist (Deep Learning),,,
181, TR Logic LLC,https://hh.ru/vacancy/36144256?query=python,https://hh.ru,DevOps Engineer,2000,, EUR
182, AERODISK,https://hh.ru/vacancy/36606137?query=python,https://hh.ru,Python Back-end разработчик,,,
183, Parallels,https://hh.ru/vacancy/36378090?query=python,https://hh.ru,"Software Engineer (Python 3, Devops)",,,
184,ООО Эксперум,https://hh.ru/vacancy/36407776?query=python,https://hh.ru,PHP Developer,100000,, руб.
185,АО Первая Грузовая Компания,https://hh.ru/vacancy/36353277?query=python,https://hh.ru,Data Scientist,,,
186, Group-IB,https://hh.ru/vacancy/36311764?query=python,https://hh.ru,Системный программист Python/Rust,,,
187, Сбербанк для экспертов,https://hh.ru/vacancy/36614898?query=python,https://hh.ru,Junior data scientist,,,
188,ООО Фаззи Лоджик Лабс,https://hh.ru/vacancy/32265417?query=python,https://hh.ru,Аналитик данных,,,
189, ЭргоСОЛО,https://hh.ru/vacancy/36497379?query=python,https://hh.ru,Frontend-разработчик,120000,, руб.
190, Skillbox,https://hh.ru/vacancy/36256831?query=python,https://hh.ru,Проверяющий преподаватель по курсу Python-разработчик,,,
